video-id,fold-ind,startphrase,gold-ending,distractor-0,distractor-1,distractor-2,distractor-3,gold-source,gold-type,distractor-0-type,distractor-1-type,distractor-2-type,distractor-3-type,sent1,sent2
lsmdc1007_Spider-Man1-74947,16213,Someone looks up at her hero and sees someone closing in again. Someone,"leans back to her surroundings, his eyes rimmed with tears.",gathers her belongings in a suitcase and walks out into the next room.,lights his walking stick as he aims his pistol at someone's wand.,offers his wand to find the entirely under world most obvious.,,gen-orig,pos,unl,unl,unl,n/a,Someone looks up at her hero and sees someone closing in again.,Someone
lsmdc1007_Spider-Man1-74947,16225,Someone stopped it in front of his face. He,takes a leap and grabs it grimly.,pretends to put on his helmet's star cap.,begins to cry as someone howls to the beat.,is getting back on with sharp at his back wall.,,gen-orig,pos,unl,unl,unl,n/a,Someone stopped it in front of his face.,He
lsmdc1007_Spider-Man1-74947,16222,"He crashes into a brick wall and collapses on the ground. He raises his wrist, but someone's boot",comes down on it.,is hurled to the surface.,flies from his grasp.,spins out of his grasp.,,gold0-orig,pos,unl,pos,pos,n/a,He crashes into a brick wall and collapses on the ground.,"He raises his wrist, but someone's boot"
lsmdc1007_Spider-Man1-74947,16230,Someone falls to the ground. Someone,"removes the hard mask with jutting jaw, revealing someone.",remains still imprisoned in the new witches lair.,wears two ropes on his ax.,"hikes up, but this leads to the chaos of the carriage.",,gold1-orig,pos,unl,unl,unl,n/a,Someone falls to the ground.,Someone
lsmdc1007_Spider-Man1-74947,16208,"Someone glides in for the kill as someone is lowering the cable car towards the barge. A blade shoots out, but someone",manages to grab the chain around it.,braces himself down against the stone and presses the empty area with his teeth.,hurriedly opens it and nearly loops it through.,sends the sharp charge to the ground.,,gen-orig,pos,unl,unl,pos,n/a,Someone glides in for the kill as someone is lowering the cable car towards the barge.,"A blade shoots out, but someone"
lsmdc1007_Spider-Man1-74947,16215,Someone crashes through the wall of an old ruin. He,"reaches over to the door, shuts it and turns the lock.","flings it around the waist deck, then shot another into the mountain below.",dunks out someone.,"snaps his stick close to one side, scrambling against a guardrail.",,gen-orig,pos,unl,unl,unl,n/a,Someone crashes through the wall of an old ruin.,He
lsmdc1007_Spider-Man1-74947,16210,"Knocked off balance, someone is kicked away by someone. The crowd on the bridge",looks up at him.,closes windows behind him.,rises 20 feet away.,stops the little boy inside.,,gen-orig,pos,unl,unl,unl,n/a,"Knocked off balance, someone is kicked away by someone.",The crowd on the bridge
lsmdc1007_Spider-Man1-74947,16214,Someone throws a line around someone's waist and pulls him away behind the glider. Someone,drops his head and lands in a heap.,"climbs to a railing, overlooking the reservoir.",is standing in a stable and two people in uniform shimmies fencing.,kicks from the pyre.,,gen-orig,pos,unl,unl,unl,n/a,Someone throws a line around someone's waist and pulls him away behind the glider.,Someone
lsmdc1007_Spider-Man1-74947,16226,Webs wrap around someone's ankles and someone yanks him down. Two more webs,pull a wall down on top of him.,pick the bomb from its accord.,disappear from behind the tree.,appear before him at the bottom of asgard.,,gold0-orig,pos,unl,unl,unl,n/a,Webs wrap around someone's ankles and someone yanks him down.,Two more webs
lsmdc1007_Spider-Man1-74947,16207,Someone slips off it but clasps hold of the rail running around the cable car roof. Someone,glides in for the kill as someone is lowering the cable car towards the barge.,drops through to the bite of the opposing pillar.,posted a few yards from the gate.,escapes down a hallway as someone vacuums the basement hallway.,,gold0-orig,pos,unl,unl,unl,n/a,Someone slips off it but clasps hold of the rail running around the cable car roof.,Someone
lsmdc1007_Spider-Man1-74947,16227,"From beneath the pile of rubble, a hand appears. He",hauls himself unsteadily to his feet.,makes the fire.,struggles to pull off the tool.,picks it up and puts it in his hands.,,gold0-orig,pos,unl,unl,unl,n/a,"From beneath the pile of rubble, a hand appears.",He
lsmdc1007_Spider-Man1-74947,16228,Someone drags the villain through a trellis and smashes him against another wall. Now it,'s someone's turn to rain blades on his opponent.,'s a male cafe house with candles in the middle of the room.,soars straight above someone.,'s someone's son.,explodes up numbers bright.,gold0-orig,pos,unl,unl,unl,unl,Someone drags the villain through a trellis and smashes him against another wall.,Now it
lsmdc1007_Spider-Man1-74947,16216,He shoots out a web to steady himself. He,smashes through a pane of glass.,wheels behind his back as the troll sprays to the top of the tower.,crashes through bar then plunges into a puddle.,gets up and walks away.,"jumps slightly, while his friends trudge and work on her.",gold0-orig,pos,unl,unl,unl,unl,He shoots out a web to steady himself.,He
lsmdc1007_Spider-Man1-74947,16221,A kick to the head and a drop kick to the chest sends someone reeling. He,crashes into a brick wall and collapses on the ground.,shifts his gaze to the sky.,takes a tumble off her chair then looks at her.,takes someone's wand and slams the door to the floor.,,gold0-orig,pos,unl,unl,unl,n/a,A kick to the head and a drop kick to the chest sends someone reeling.,He
lsmdc1007_Spider-Man1-74947,16230,Someone falls to the ground. Someone,grabs him and punches him on the shoulder.,remains still imprisoned in the new witches lair.,wears two ropes on his ax.,"hikes up, but this leads to the chaos of the carriage.",,gen-orig,pos,unl,unl,unl,n/a,Someone falls to the ground.,Someone
lsmdc1007_Spider-Man1-74947,16212,"The cable car lands safely on the barge, someone still clinging to it. Someone",looks up at her hero and sees someone closing in again.,races back place wearing their own clothes.,sits and flexes his parallel defensively.,descending it dives from under it.,,gold0-orig,pos,unl,unl,unl,n/a,"The cable car lands safely on the barge, someone still clinging to it.",Someone
lsmdc1007_Spider-Man1-74947,16218,A punch sends someone high into the air and he lands heavily. Someone,flips up and punches him again.,"hurries to the controls, tosses the plane down into the sarcophagus.","squints as he gulps, then looks down at his list.",backs a polished arm around someone.,rolls over and kicks the ping's shin with his hand.,gold0-orig,pos,unl,unl,unl,unl,A punch sends someone high into the air and he lands heavily.,Someone
lsmdc1007_Spider-Man1-74947,16223,Someone's eyes flare and he grits his teeth. Someone,lunges at someone with a multi - bladed spear.,uncomfortably sweeps a revolver in half.,sniffs someone's wound with a wand.,yields a delighted smile.,rises and heads toward the pylon.,gold0-orig,pos,unl,unl,pos,pos,Someone's eyes flare and he grits his teeth.,Someone
lsmdc1007_Spider-Man1-74947,16224,Someone lunges at someone with a multi - bladed spear. Someone,stopped it in front of his face.,holds someone's hand to someone.,backs into his arms.,squeezes the neuralyzer out of his mouth.,,gold0-orig,pos,unl,unl,unl,n/a,Someone lunges at someone with a multi - bladed spear.,Someone
lsmdc1007_Spider-Man1-74947,16217,The fireball throws someone backwards. He,is thrust through a brick wall and lands on the ground.,"crouches into the fire and grabs it, stabbing someone, then shoved into his stomach.",is hurled backwards in russia.,punches his attacker and breaks into a meager wave.,'s brow is bloated as the railings extends.,gold0-orig,pos,unl,unl,unl,unl,The fireball throws someone backwards.,He
lsmdc1007_Spider-Man1-74947,16220,"He builds a large web, which slows down the Green someone, but can't hold him. Someone","goes on the attack, but is beaten back.",sits down from the column in the tower.,pushes the surfer down.,"glances down at someone, raising his weary back.",,gold0-orig,pos,unl,pos,pos,n/a,"He builds a large web, which slows down the Green someone, but can't hold him.",Someone
lsmdc1007_Spider-Man1-74947,16211,The crowd on the bridge continue to throw debris. The cable car,"lands safely on the barge, someone still clinging to it.",is behind several houses to carry it before they clean out.,reverses as someone removes it.,begins to scramble and lift speed across deck.,reverses and catches a glimpse of the chauffeur hanging over the rim of the collision.,gold0-orig,pos,unl,unl,unl,unl,The crowd on the bridge continue to throw debris.,The cable car
lsmdc1007_Spider-Man1-74947,16209,"A blade shoots out, but someone is hit by debris. Knocked off balance, someone",is kicked away by someone.,jumps again and forces his eyes upward.,cowers as the rocket studies her.,"shoots another trooper, then aims for more effort.",,gold1-reannot,pos,unl,unl,unl,n/a,"A blade shoots out, but someone is hit by debris.","Knocked off balance, someone"
lsmdc1007_Spider-Man1-74947,16209,"A blade shoots out, but someone is hit by debris. Knocked off balance, someone",crawls away and catches his ankle.,jumps again and forces his eyes upward.,cowers as the rocket studies her.,"shoots another trooper, then aims for more effort.",,gen-reannot,pos,unl,unl,unl,n/a,"A blade shoots out, but someone is hit by debris.","Knocked off balance, someone"
lsmdc1007_Spider-Man1-74947,16215,Someone crashes through the wall of an old ruin. He,shoots out a web to steady himself.,dunks out someone.,"snaps his stick close to one side, scrambling against a guardrail.","crosses the iron across his head, throws it on the floor as the train stomps on him.","flings it around the waist deck, then shot another into the mountain below.",gold0-reannot,pos,unl,unl,unl,unl,Someone crashes through the wall of an old ruin.,He
lsmdc1007_Spider-Man1-74947,16214,Someone throws a line around someone's waist and pulls him away behind the glider. Someone,"climbs to a railing, overlooking the reservoir.",is standing in a stable and two people in uniform shimmies fencing.,is open into a web.,stands among the masked men.,kicks from the pyre.,gen-reannot,pos,unl,unl,unl,unl,Someone throws a line around someone's waist and pulls him away behind the glider.,Someone
lsmdc1007_Spider-Man1-74947,16214,Someone throws a line around someone's waist and pulls him away behind the glider. Someone,crashes through the wall of an old ruin.,is standing in a stable and two people in uniform shimmies fencing.,is open into a web.,stands among the masked men.,kicks from the pyre.,gold1-reannot,pos,unl,unl,unl,unl,Someone throws a line around someone's waist and pulls him away behind the glider.,Someone
lsmdc1007_Spider-Man1-74947,16206,"Like a gymnast on rings, someone's arms are stretched wide, one attached to the web supporting them all, the hand of the other still grasping the cable tightly. Another punch",sends someone reeling and knocks the cable from his grasp.,knocks a couple of bricks open with a mortar and turn off onto the main collapse.,rips the forehead from it's hand and the rest of the main pool continues to fall.,"strikes the giant, but someone struggles to roll someone over.","sends someone back through the window, once.",gold0-reannot,pos,unl,unl,unl,unl,"Like a gymnast on rings, someone's arms are stretched wide, one attached to the web supporting them all, the hand of the other still grasping the cable tightly.",Another punch
lsmdc1007_Spider-Man1-74947,16225,Someone stopped it in front of his face. He,sees someone's silver car in the opposite side of the window.,is getting back on with sharp at his back wall.,pretends to put on his helmet's star cap.,begins to cry as someone howls to the beat.,grabs the disheveled corpse.,gen-reannot,pos,unl,unl,unl,unl,Someone stopped it in front of his face.,He
lsmdc1007_Spider-Man1-74947,16219,Someone flips up and punches him again. Someone,"pushes him onto the ground, sending him into the sand.",yanks the brunette up from her shirt and puts it across the back of her shirt.,"looks down off the water, his eyes wide in horror.",cheer them around while the two pop gould cards and move their body into an doorway.,,gen-reannot,pos,unl,unl,unl,n/a,Someone flips up and punches him again.,Someone
lsmdc1007_Spider-Man1-74947,16225,Someone stopped it in front of his face. He,"pushes it back, then hurls someone across the ruin.",is getting back on with sharp at his back wall.,pretends to put on his helmet's star cap.,begins to cry as someone howls to the beat.,grabs the disheveled corpse.,gold1-reannot,pos,unl,unl,unl,unl,Someone stopped it in front of his face.,He
lsmdc1007_Spider-Man1-74947,16208,"Someone glides in for the kill as someone is lowering the cable car towards the barge. A blade shoots out, but someone",does not reach him.,braces himself down against the stone and presses the empty area with his teeth.,hurriedly opens it and nearly loops it through.,sends the sharp charge to the ground.,wrenches the wheel towards it and presses it into the chest of the car.,gen-reannot,pos,unl,unl,unl,unl,Someone glides in for the kill as someone is lowering the cable car towards the barge.,"A blade shoots out, but someone"
lsmdc1007_Spider-Man1-74947,16210,"Knocked off balance, someone is kicked away by someone. The crowd on the bridge",continue to throw debris.,rises 20 feet away.,"reaches their splits up the stairs, followed by someone.",is n't move.,closes windows behind him.,gold0-reannot,pos,unl,unl,unl,pos,"Knocked off balance, someone is kicked away by someone.",The crowd on the bridge
lsmdc1007_Spider-Man1-74947,16208,"Someone glides in for the kill as someone is lowering the cable car towards the barge. A blade shoots out, but someone",is hit by debris.,braces himself down against the stone and presses the empty area with his teeth.,hurriedly opens it and nearly loops it through.,sends the sharp charge to the ground.,wrenches the wheel towards it and presses it into the chest of the car.,gold1-reannot,pos,unl,unl,unl,unl,Someone glides in for the kill as someone is lowering the cable car towards the barge.,"A blade shoots out, but someone"
anetv_v1hQ0vf66QY,2144,A countdown of text is shown that leads into clips of sumo wrestlers performing impressive throws. The video,continues counting down as more shots are shown of sumo wrestlers fighting one another and people watching on the side.,continues and the video ends with text shown of the judges swinging up and down.,shows the man speaking to the camera and both performing hitting a tennis ball.,ends with a man throwing the purse to someone and others cheering on the sidelines around the screen.,,gold0-orig,pos,unl,unl,unl,n/a,A countdown of text is shown that leads into clips of sumo wrestlers performing impressive throws.,The video
anetv_F3iZD7tm8Io,4871,Then another woman comes up and she is wearing black shorts and a shirt. She flies onto the blue mat and other people,watch as she does her trick.,do several flips and ties as the black sweatshirt jumps in the sand clouds.,are at one end of the mat.,kick the rope around their leg.,"then ride under the hit with mat, struggling down and down.",gold0-orig,pos,unl,unl,unl,unl,Then another woman comes up and she is wearing black shorts and a shirt.,She flies onto the blue mat and other people
anetv_F3iZD7tm8Io,9477,"Her action is then repeated, but in slow motion once again. Another women in a purple top makes the same jump and again, her action","is shown again, but in slow motion.",hits the mat twice.,lies on the grill with anger and pain in her body itself.,is repeated on a number again and pins.,is replayed through the bottom of the racetrack.,gold0-orig,pos,unl,unl,unl,unl,"Her action is then repeated, but in slow motion once again.","Another women in a purple top makes the same jump and again, her action"
anetv_F3iZD7tm8Io,4870,This woman is wearing a purple sports bra and blue panties as she runs and goes flying onto the beam. Then another woman comes up and she,is wearing black shorts and a shirt.,is seen running down the land.,picks them up without paying any attention.,begins bungee jumping while jumping down.,"follows him, very closely with others watching her.",gold0-orig,pos,unl,unl,unl,unl,This woman is wearing a purple sports bra and blue panties as she runs and goes flying onto the beam.,Then another woman comes up and she
anetv_F3iZD7tm8Io,9476,Another young athlete then makes the same jump. Her action,is then shown again again in slow motion.,shows a replay of the performance of the outro.,is replayed of replays facing the races.,moves in slow motion.,,gen-orig,pos,pos,pos,pos,n/a,Another young athlete then makes the same jump.,Her action
anetv_F3iZD7tm8Io,9473,A young woman is standing at the foot of a pole vault track. She,takes off and runs very fast towards it and makes it over the beam with relative ease.,"swings the ball against the pole, and it lands on the ground.",swings back and fourth while his mom is shown steering the cars.,flips off between jump ropes and balances before the balance bars.,,gold0-orig,pos,unl,unl,unl,n/a,A young woman is standing at the foot of a pole vault track.,She
anetv_F3iZD7tm8Io,9474,She takes off and runs very fast towards it and makes it over the beam with relative ease. She,is then shown doing the same action in slow motion.,hobbles around a few times and her back at the camera.,climbs down the rock as she goes.,misses the jump and he jumps into her other arms.,claps out the glass who had while still talking.,gold0-orig,pos,unl,unl,unl,unl,She takes off and runs very fast towards it and makes it over the beam with relative ease.,She
anetv_F3iZD7tm8Io,9475,She is then shown doing the same action in slow motion. Another young athlete then,makes the same jump.,is shown walking and twirling herself on a gym hoop while judges.,has a website in her eyes.,stands behind her watching the game.,comes back alongside her and does several tricks.,gold1-reannot,pos,unl,unl,pos,pos,She is then shown doing the same action in slow motion.,Another young athlete then
anetv_F3iZD7tm8Io,9475,She is then shown doing the same action in slow motion. Another young athlete then,appears in front of the camera.,is shown walking and twirling herself on a gym hoop while judges.,has a website in her eyes.,stands behind her watching the game.,comes back alongside her and does several tricks.,gen-reannot,pos,unl,unl,pos,pos,She is then shown doing the same action in slow motion.,Another young athlete then
anetv_F3iZD7tm8Io,9476,Another young athlete then makes the same jump. Her action,"is then repeated, but in slow motion once again.",shows a replay of the performance of the outro.,moves in slow motion.,is shown in slow motion.,,gold0-reannot,pos,unl,pos,pos,n/a,Another young athlete then makes the same jump.,Her action
lsmdc0001_American_Beauty-45932,14579,The Mercedes turns onto Robin Hood Trail. We,"someone and someone push one suv down a hill, leaving a man turn over to the traffic.",feigns disappearing hurriedly pulls out.,"the ladies' canoe away, the rider drags on its hood, bringing it down.",stop as someone draws beside someone and lands in the limo's trunk.,push down a lot of parked cars.,gen-orig,pos,unl,unl,pos,pos,The Mercedes turns onto Robin Hood Trail.,We
lsmdc0001_American_Beauty-45932,14580,We turn into the Burnham driveway. A 1970 pontiac firebird with racing stripes,blocks our access to the garage.,pulls up to a green shiny driveway with a rolled up glow in it.,is cut into its backs.,stands on the curb as the white ford explorer pulls a four - inch horse into a curb inside.,"is propped on his shoulder, ready for his team.",gold0-orig,pos,unl,unl,unl,unl,We turn into the Burnham driveway.,A 1970 pontiac firebird with racing stripes
lsmdc0001_American_Beauty-45932,14579,The Mercedes turns onto Robin Hood Trail. We,turn into the burnham driveway.,feigns disappearing hurriedly pulls out.,"the ladies' canoe away, the rider drags on its hood, bringing it down.",stop as someone draws beside someone and lands in the limo's trunk.,push down a lot of parked cars.,gold1-orig,pos,unl,unl,pos,pos,The Mercedes turns onto Robin Hood Trail.,We
lsmdc0001_American_Beauty-45932,14582,"Someone is sprawled on the couch in his underwear, drinking a beer and controlling the car. Someone's remote - controlled model jeep","is zooming across the floor of the family room, expertly maneuvering corners and narrowly avoiding crashing.",is piled high with someone.,sits on a dune.,pulls into parking lot and drives beside him.,"moves on a wide - hued highway, bordered by golden spectators.",gold0-orig,pos,unl,unl,unl,unl,"Someone is sprawled on the couch in his underwear, drinking a beer and controlling the car.",Someone's remote - controlled model jeep
lsmdc0001_American_Beauty-45932,14581,"The room, too, seems changed: sloppier, more lived in. Someone","is sprawled on the couch in his underwear, drinking a beer and controlling the car.","is stopped, startling a masked woman with clubs.","continues to react, swirling, low - sniffing - - all of the sports really loud.",pulls up a little and goes to help to someone up.,points her cigarette out in the cold back of the shadows.,gold0-reannot,pos,unl,unl,unl,unl,"The room, too, seems changed: sloppier, more lived in.",Someone
anetv_WrFNI5GQFPM,15978,The woman braids the other's hair all around and pins it up behind her. The woman,continue pinning and curling her hair and shows it off in the end.,shows off the blow and shows a more match while looking at the camera.,is then shown putting lenses to her ears and tightening the contact lens.,finishes shaving the ball and stands up at the end before putting her glasses up.,lifts up wine while still speaking and grins.,gold0-orig,pos,unl,unl,unl,pos,The woman braids the other's hair all around and pins it up behind her.,The woman
anetv_WrFNI5GQFPM,17888,The woman is seated facing the camera while another woman styles her hair. The woman,talks to the camera.,begins to cut the hair with her hair then serves it and begins brushing her hair and styling it.,puts some right braids on his.,"in purple is wearing a blue dress and blue headband, using the pits to style her hair.",then takes her hair curler and begins to braid the hair and the girl gives her hair blow dry.,gen-orig,pos,unl,unl,unl,unl,The woman is seated facing the camera while another woman styles her hair.,The woman
anetv_WrFNI5GQFPM,17887,A woman's hair is shown from the back. The woman,starts blow drying the hair.,looks like the woman with knit eyes.,bends down several times.,continues showing various hair products at camera afterwards.,,gen-orig,pos,unl,unl,pos,n/a,A woman's hair is shown from the back.,The woman
anetv_WrFNI5GQFPM,17888,The woman is seated facing the camera while another woman styles her hair. The woman,continues to have her hair styled while turned away from the camera.,begins to cut the hair with her hair then serves it and begins brushing her hair and styling it.,puts some right braids on his.,"in purple is wearing a blue dress and blue headband, using the pits to style her hair.",then takes her hair curler and begins to braid the hair and the girl gives her hair blow dry.,gold1-orig,pos,unl,unl,unl,unl,The woman is seated facing the camera while another woman styles her hair.,The woman
anetv_WrFNI5GQFPM,17889,The woman continues to have her hair styled while turned away from the camera. The woman,spins slowly in front of the camera showing the completed hairstyle.,buries her face in the bed and does several moves and various diagonally back and forth.,moves pretty her hair in the grass and uses more curlers to wrap up her curls.,"continues to speak, grouped the others.",,gold0-orig,pos,unl,unl,pos,n/a,The woman continues to have her hair styled while turned away from the camera.,The woman
anetv_WrFNI5GQFPM,15977,A woman's hair is seen followed by another woman styling her hair. The woman,styles her hair and ends by walking around and speaking to the camera.,cleans the girl's hair and leads into her piercing its ears.,begins brushing her hair as well as comb off her outfit.,ties the hair into sections while still speaking to the camera.,continues dries her hair as well with thick hair attachments.,gen-orig,pos,unl,unl,pos,pos,A woman's hair is seen followed by another woman styling her hair.,The woman
anetv_WrFNI5GQFPM,15977,A woman's hair is seen followed by another woman styling her hair. The woman,braids the other's hair all around and pins it up behind her.,cleans the girl's hair and leads into her piercing its ears.,begins brushing her hair as well as comb off her outfit.,ties the hair into sections while still speaking to the camera.,continues dries her hair as well with thick hair attachments.,gold1-orig,pos,unl,unl,pos,pos,A woman's hair is seen followed by another woman styling her hair.,The woman
anetv_WrFNI5GQFPM,17887,A woman's hair is shown from the back. The woman,continues showing various hair products at camera afterwards.,continuously throws a tire down to show a pad.,continues drying the man's hair.,bends down several times.,,gen-reannot,pos,unl,unl,unl,n/a,A woman's hair is shown from the back.,The woman
anetv_WrFNI5GQFPM,17887,A woman's hair is shown from the back. The woman,is seated facing the camera while another woman styles her hair.,continuously throws a tire down to show a pad.,continues drying the man's hair.,bends down several times.,,gold1-reannot,pos,unl,unl,unl,n/a,A woman's hair is shown from the back.,The woman
lsmdc3017_CHRONICLE-7331,7171,Someone stands observantly by as the older man rolls on to his stomach. His feet,upset some piled newspapers.,sticking out the tray with just his rear muscles.,swing out from under the twisted wall.,lose themselves in the slope.,,gold0-orig,pos,unl,pos,pos,n/a,Someone stands observantly by as the older man rolls on to his stomach.,His feet
lsmdc3017_CHRONICLE-7331,7169,"He pounces on the boy. He pulls the boy to his feet, but someone",tosses it over one.,is in cold.,"grabs him in a leader with the arm, drinking up the injection and into the growing mass.",scrambles up defiantly around the car.,,gen-orig,unl,unl,unl,unl,n/a,He pounces on the boy.,"He pulls the boy to his feet, but someone"
lsmdc3017_CHRONICLE-7331,7173,The view swings to someone who dabs his bloody nose. He playfully,reaches for her camera.,does a vault on a wall.,twists its someone's claws.,dodges her broom around a corner.,hits her with a suburban stare.,gold1-orig,pos,unl,unl,unl,pos,The view swings to someone who dabs his bloody nose.,He playfully
lsmdc3017_CHRONICLE-7331,7170,"He pulls the boy to his feet, but someone forces him up against the wall. Someone",throws his father several feet.,"holds onto the wall, trying to hide him from it.",takes the barrel of a gun gun and falls toward him.,crashes beneath the bridge.,"reaches out, aiming his weapon like a gun.",gold1-orig,pos,unl,unl,unl,pos,"He pulls the boy to his feet, but someone forces him up against the wall.",Someone
lsmdc3017_CHRONICLE-7331,7170,"He pulls the boy to his feet, but someone forces him up against the wall. Someone","pushes someone to the ground, and goes to his gate.","holds onto the wall, trying to hide him from it.",takes the barrel of a gun gun and falls toward him.,crashes beneath the bridge.,"reaches out, aiming his weapon like a gun.",gen-orig,pos,unl,unl,unl,pos,"He pulls the boy to his feet, but someone forces him up against the wall.",Someone
lsmdc3017_CHRONICLE-7331,7168,His father overturns a table between them and slaps someone down. He,pounces on the boy.,opens the fridge and follows her into the kitchen.,rolls to a stop by the door.,grabs a letter and hands it to someone.,,gold0-orig,pos,unl,unl,unl,n/a,His father overturns a table between them and slaps someone down.,He
